filename,start,end,signal end,clean duration,noisy duration,clean percentage,noisy percentage
 ,224948,225962, , , , , 
 ,228676,250853, , , , , 
 ,270768,322512, , , , , 
 ,335767,342982, , , , , 
 ,347954,351817, , , , , 
 ,353351,362046, , , , , 
 ,411391,413149, , , , , 
 ,445417,456817, , , , , 
 ,486532,488283, , , , , 
 ,642809,645116, , , , , 
 , , ,649927,22:50.831,7:17.992,75.79,24.21
201.txt
 ,395181,395610, , , , , 
 ,396465,397228, , , , , 
 , , ,649800,30:00.739,0:03.311,99.82,0.18
202.txt
 , , ,649877,30:04.706,0:00.0,100.0,0.0
203.txt
 ,24,3584, , , , , 
 ,15847,17814, , , , , 
 ,34176,37404, , , , , 
 ,140400,141384, , , , , 
 ,148743,153701, , , , , 
 ,173301,176701, , , , , 
 ,186465,191899, , , , , 
 ,193732,199072, , , , , 
 ,199185,199777, , , , , 
 ,200391,209771, , , , , 
 ,211127,215210, , , , , 
 ,217889,222018, , , , , 
 ,222810,224433, , , , , 
 ,268015,279154, , , , , 
 ,298488,299148, , , , , 
 ,301408,302363, , , , , 
 ,306954,312376, , , , , 
 ,317961,322872, , , , , 
 ,324927,329813, , , , , 
 ,332203,332744, , , , , 
 ,333230,372163, , , , , 
 ,375675,407305, , , , , 
 ,409814,418472, , , , , 
 ,420316,457181, , , , , 
 ,469434,505420, , , , , 
 ,506961,509025, , , , , 
 ,514899,532601, , , , , 
 ,538116,539636, , , , , 
 , , ,649777,18:22.664,11:35.972,61.31,38.69
205.txt
 ,322918,331137, , , , , 
 , , ,649857,29:41.736,0:22.831,98.73,1.27
207.txt
 ,101933,108704, , , , , 
 ,111757,115469, , , , , 
 ,120774,121788, , , , , 
 ,124554,150744, , , , , 
 ,151602,159775, , , , , 
 ,161076,170465, , , , , 
 ,173584,186227, , , , , 
 , , ,649799,26:56.50,3:08.589,89.55,10.45
208.txt
 ,6482,8093, , , , , 
 ,13030,19850, , , , , 
 ,122073,136281, , , , , 
 ,323548,324368, , , , , 
 ,326108,420724, , , , , 
 ,432868,433662, , , , , 
 ,437925,438962, , , , , 
 ,453453,457582, , , , , 
 ,458569,460774, , , , , 
 ,497885,500052, , , , , 
 ,538209,539456, , , , , 
 ,550108,559278, , , , , 
 , , ,649935,23:34.72,6:25.622,78.57,21.43
209.txt
 ,89436,93785, , , , , 
 ,122251,142126, , , , , 
 ,270875,281035, , , , , 
 ,290978,296214, , , , , 
 ,305156,309711, , , , , 
 ,373805,396567, , , , , 
 ,439602,449558, , , , , 
 ,575971,595433, , , , , 
 ,598129,608596, , , , , 
 , , ,649857,25:12.842,4:56.728,83.6,16.4
210.txt
 ,67636,71482, , , , , 
 ,81064,82307, , , , , 
 ,88260,302953, , , , , 
 ,303520,303860, , , , , 
 ,345494,345673, , , , , 
 ,346090,346350, , , , , 
 ,349615,352982, , , , , 
 ,353969,354520, , , , , 
 , , ,649962,19:40.42,10:23.553,65.43,34.57
212.txt
 ,252274,252720, , , , , 
 ,400073,401859, , , , , 
 ,404855,406365, , , , , 
 ,502327,502485, , , , , 
 ,504109,572400, , , , , 
 ,572840,578363, , , , , 
 , , ,649945,26:34.336,3:35.872,88.07,11.93
213.txt
 , , ,649992,30:05.483,0:00.0,100.0,0.0
214.txt
 ,27619,27869, , , , , 
 ,29231,29808, , , , , 
 , , ,649891,30:02.281,0:02.297,99.87,0.13
215.txt
 ,67388,67557, , , , , 
 ,69622,70271, , , , , 
 ,71470,73761, , , , , 
 ,244952,246167, , , , , 
 ,279250,280077, , , , , 
 ,290311,291259, , , , , 
 ,311979,312503, , , , , 
 ,332157,333162, , , , , 
 ,450620,451516, , , , , 
 ,460656,461624, , , , , 
 ,480024,480731, , , , , 
 ,586981,587793, , , , , 
 ,594947,595889, , , , , 
 ,605012,605755, , , , , 
 ,635964,637298, , , , , 
 , , ,649875,29:22.992,0:38.972,97.84,2.16
219.txt
 , , ,649737,30:04.303,0:00.0,100.0,0.0
220.txt
 ,145616,147170, , , , , 
 ,518935,520167, , , , , 
 , , ,649904,29:56.658,0:07.739,99.57,0.43
221.txt
 ,189319,191136, , , , , 
 ,197230,198552, , , , , 
 ,377521,378482, , , , , 
 ,395420,395865, , , , , 
 ,415561,416040, , , , , 
 ,425387,426790, , , , , 
 , , ,649810,29:45.131,0:17.853,99.01,0.99
222.txt
 ,39144,40405, , , , , 
 ,41595,42095, , , , , 
 ,191462,193398, , , , , 
 ,454746,460256, , , , , 
 ,461975,468726, , , , , 
 ,490090,491234, , , , , 
 ,534527,535755, , , , , 
 , , ,649859,29:15.822,0:50.917,97.18,2.82
223.txt
 ,56625,58483, , , , , 
 ,150339,163359, , , , , 
 ,221142,227921, , , , , 
 ,229742,234214, , , , , 
 ,272453,275042, , , , , 
 , , ,649849,28:43.269,1:19.772,95.58,4.42
228.txt
 ,21556,22803, , , , , 
 ,57996,65403, , , , , 
 ,68108,69534, , , , , 
 ,99584,101838, , , , , 
 ,435497,443559, , , , , 
 ,450552,451982, , , , , 
 ,490951,496383, , , , , 
 ,530597,533726, , , , , 
 ,539676,542711, , , , , 
 ,546672,549278, , , , , 
 , , ,649761,28:20.367,1:40.78,94.44,5.56
230.txt
 ,525595,526634, , , , , 
 , , ,649807,30:01.783,0:02.886,99.84,0.16
231.txt
 , , ,649862,30:05.14,0:00.0,100.0,0.0
232.txt
 ,2550,25657, , , , , 
 ,30155,32412, , , , , 
 ,81335,87470, , , , , 
 ,96933,99238, , , , , 
 ,99599,101161, , , , , 
 ,122278,122389, , , , , 
 ,125861,129431, , , , , 
 ,134385,136600, , , , , 
 ,137954,139864, , , , , 
 ,140271,141231, , , , , 
 ,147329,148235, , , , , 
 ,243896,248905, , , , , 
 ,252568,254492, , , , , 
 ,256132,263913, , , , , 
 ,268556,316208, , , , , 
 ,316968,479736, , , , , 
 ,480435,483704, , , , , 
 , , ,649366,17:18.956,12:39.558,57.77,42.23
233.txt
 , , ,649946,30:05.397,0:00.0,100.0,0.0
234.txt
 ,144095,144534, , , , , 
 ,147172,147428, , , , , 
 ,486404,487388, , , , , 
 ,493777,520265, , , , , 
 , , ,649772,28:45.119,1:18.242,95.66,4.34
total, , ,28593115,20:10:54.389,2:01:14.142,90.90,9.10
