filename,start,end,signal end,clean duration,noisy duration,clean percentage,noisy percentage
111.txt,31,59551, , , , , 
111.txt,60939,66252, , , , , 
111.txt,67937,429851, , , , , 
111.txt,432639,592810, , , , , 
111.txt,594096,649724, , , , , 
111.txt, , ,649724,29:44.850,0:18.319,98.98,1.02
112.txt
112.txt,15,244539, , , , , 
112.txt,250258,274057, , , , , 
112.txt,281825,290683, , , , , 
112.txt,294670,296205, , , , , 
112.txt,296828,298601, , , , , 
112.txt,300670,649883, , , , , 
112.txt, , ,649883,29:09.172,0:54.78,97.0,3.0
113.txt
113.txt,22,649994, , , , , 
113.txt, , ,649994,30:05.478,0:00.0,100.0,0.0
114.txt
114.txt,21,205200, , , , , 
114.txt,207120,239232, , , , , 
114.txt,240843,434605, , , , , 
114.txt,436165,637470, , , , , 
114.txt,436165,649783, , , , , 
114.txt, , ,649783,39:09.933,0:12.619,99.47,0.53
115.txt
115.txt,44,464021, , , , , 
115.txt,467448,649955, , , , , 
115.txt, , ,649955,29:55.789,0:09.256,99.49,0.51
116.txt
116.txt,174,360124, , , , , 
116.txt,361356,487532, , , , , 
116.txt,491580,500548, , , , , 
116.txt,503841,505376, , , , , 
116.txt,506274,649957, , , , , 
116.txt, , ,649957,29:38.644,0:25.47,98.61,1.39
117.txt
117.txt,72,258119, , , , , 
117.txt,258628,261770, , , , , 
117.txt,258628,649926, , , , , 
117.txt, , ,649926,30:12.464,0:00.958,99.95,0.05
118.txt
118.txt,13,93918, , , , , 
118.txt,95284,130814, , , , , 
118.txt,133122,269262, , , , , 
118.txt,269779,579230, , , , , 
118.txt,585164,588576, , , , , 
118.txt,590695,621591, , , , , 
118.txt,622219,649742, , , , , 
118.txt, , ,649742,29:29.47,0:34.0,98.11,1.89
119.txt
119.txt,32,434464, , , , , 
119.txt,440952,552115, , , , , 
119.txt,556892,649788, , , , , 
119.txt, , ,649788,29:33.586,0:30.150,98.33,1.67
121.txt
121.txt,36,76642, , , , , 
121.txt,87192,556476, , , , , 
121.txt,558932,559315, , , , , 
121.txt,562236,562564, , , , , 
121.txt,565016,595291, , , , , 
121.txt,596728,628697, , , , , 
121.txt,629582,649878, , , , , 
121.txt, , ,649878,29:07.614,0:54.981,96.95,3.05
122.txt
122.txt,17,649905, , , , , 
122.txt, , ,649905,30:05.244,0:00.0,100.0,0.0
123.txt
123.txt,25,649689, , , , , 
123.txt, , ,649689,30:04.622,0:00.0,100.0,0.0
124.txt
124.txt,100,197744, , , , , 
124.txt,202548,649876, , , , , 
124.txt, , ,649876,29:51.589,0:13.25,99.28,0.72
200.txt
200.txt,67,79269, , , , , 
200.txt,83181,85611, , , , , 
200.txt,109879,115732, , , , , 
200.txt,116436,122110, , , , , 
200.txt,124540,129532, , , , , 
200.txt,130339,138930, , , , , 
200.txt,139638,172987, , , , , 
200.txt,175698,208061, , , , , 
200.txt,212176,213565, , , , , 
200.txt,217895,218313, , , , , 
200.txt,219683,222054, , , , , 
200.txt,223910,224948, , , , , 
200.txt,226161,228676, , , , , 
200.txt,250978,270768, , , , , 
200.txt,322680,335767, , , , , 
200.txt,343082,347954, , , , , 
200.txt,351884,353351, , , , , 
200.txt,362142,411391, , , , , 
200.txt,413236,445417, , , , , 
200.txt,456925,486532, , , , , 
200.txt,488363,642809, , , , , 
200.txt,645277,649242, , , , , 
200.txt,645277,649927, , , , , 
200.txt, , ,649927,22:50.831,7:17.992,75.79,24.21
201.txt
201.txt,60,395181, , , , , 
201.txt,395818,396465, , , , , 
201.txt,397302,649800, , , , , 
201.txt, , ,649800,30:00.739,0:03.311,99.82,0.18
202.txt
202.txt,183,649877, , , , , 
202.txt, , ,649877,30:04.706,0:00.0,100.0,0.0
203.txt
203.txt,14,24, , , , , 
203.txt,3714,15847, , , , , 
203.txt,17922,34176, , , , , 
203.txt,37542,140400, , , , , 
203.txt,141483,148743, , , , , 
203.txt,153858,173301, , , , , 
203.txt,176775,186465, , , , , 
203.txt,191976,193732, , , , , 
203.txt,199150,199185, , , , , 
203.txt,199816,200391, , , , , 
203.txt,209938,211127, , , , , 
203.txt,215261,217889, , , , , 
203.txt,222072,222810, , , , , 
203.txt,224551,268015, , , , , 
203.txt,279286,298488, , , , , 
203.txt,299291,301408, , , , , 
203.txt,302431,306954, , , , , 
203.txt,312426,317961, , , , , 
203.txt,322901,324927, , , , , 
203.txt,329848,332203, , , , , 
203.txt,332764,333230, , , , , 
203.txt,372298,375675, , , , , 
203.txt,407422,409814, , , , , 
203.txt,418550,420316, , , , , 
203.txt,457223,469434, , , , , 
203.txt,505531,506961, , , , , 
203.txt,509142,514899, , , , , 
203.txt,532667,538116, , , , , 
203.txt,539831,540205, , , , , 
203.txt,539831,649777, , , , , 
203.txt, , ,649777,18:22.664,11:35.972,61.31,38.69
205.txt
205.txt,15,322918, , , , , 
205.txt,331335,649857, , , , , 
205.txt, , ,649857,29:41.736,0:22.831,98.73,1.27
207.txt
207.txt,9,101933, , , , , 
207.txt,108856,111757, , , , , 
207.txt,115593,120774, , , , , 
207.txt,121976,124554, , , , , 
207.txt,150777,151602, , , , , 
207.txt,159814,161076, , , , , 
207.txt,170625,173584, , , , , 
207.txt,186255,186859, , , , , 
207.txt,186255,649799, , , , , 
207.txt, , ,649799,26:56.50,3:08.589,89.55,10.45
208.txt
208.txt,9,6482, , , , , 
208.txt,8147,13030, , , , , 
208.txt,19919,122073, , , , , 
208.txt,136345,323548, , , , , 
208.txt,324464,326108, , , , , 
208.txt,420899,432868, , , , , 
208.txt,433726,437925, , , , , 
208.txt,439094,453453, , , , , 
208.txt,460922,497885, , , , , 
208.txt,500120,538209, , , , , 
208.txt,539584,550108, , , , , 
208.txt,559329,649935, , , , , 
208.txt, , ,649935,23:34.72,6:25.622,78.57,21.43
209.txt
209.txt,84,89436, , , , , 
209.txt,93914,122251, , , , , 
209.txt,142217,270875, , , , , 
209.txt,281202,290978, , , , , 
209.txt,296295,305156, , , , , 
209.txt,309810,373805, , , , , 
209.txt,396673,439602, , , , , 
209.txt,449605,575971, , , , , 
209.txt,595536,598129, , , , , 
209.txt,608663,611225, , , , , 
209.txt,608663,649857, , , , , 
209.txt, , ,649857,25:12.842,4:56.728,83.6,16.4
210.txt
210.txt,13,67636, , , , , 
210.txt,71506,81064, , , , , 
210.txt,82390,88260, , , , , 
210.txt,303063,303520, , , , , 
210.txt,303960,345494, , , , , 
210.txt,345775,346090, , , , , 
210.txt,346520,349615, , , , , 
210.txt,353142,353969, , , , , 
210.txt,354596,354766, , , , , 
210.txt,354596,649962, , , , , 
210.txt, , ,649962,19:40.42,10:23.553,65.43,34.57
212.txt
212.txt,125,252274, , , , , 
212.txt,252841,400073, , , , , 
212.txt,401950,404855, , , , , 
212.txt,406455,502327, , , , , 
212.txt,502677,504109, , , , , 
212.txt,572546,572840, , , , , 
212.txt,578568,581268, , , , , 
212.txt,578568,649945, , , , , 
212.txt, , ,649945,26:34.336,3:35.872,88.07,11.93
213.txt
213.txt,18,649992, , , , , 
213.txt, , ,649992,30:05.483,0:00.0,100.0,0.0
214.txt
214.txt,19,27619, , , , , 
214.txt,28035,29231, , , , , 
214.txt,29866,649891, , , , , 
214.txt, , ,649891,30:02.281,0:02.297,99.87,0.13
215.txt
215.txt,41,67388, , , , , 
215.txt,67625,69622, , , , , 
215.txt,70315,71470, , , , , 
215.txt,73871,244952, , , , , 
215.txt,246210,279250, , , , , 
215.txt,280104,290311, , , , , 
215.txt,291338,311979, , , , , 
215.txt,312617,332157, , , , , 
215.txt,333205,450620, , , , , 
215.txt,451583,460656, , , , , 
215.txt,461699,480024, , , , , 
215.txt,480800,586981, , , , , 
215.txt,587875,594947, , , , , 
215.txt,596025,605012, , , , , 
215.txt,605863,635964, , , , , 
215.txt,637360,649875, , , , , 
215.txt, , ,649875,29:22.992,0:38.972,97.84,2.16
219.txt
219.txt,188,649737, , , , , 
219.txt, , ,649737,30:04.303,0:00.0,100.0,0.0
220.txt
220.txt,28,145616, , , , , 
220.txt,147277,518935, , , , , 
220.txt,520353,649904, , , , , 
220.txt, , ,649904,29:56.658,0:07.739,99.57,0.43
221.txt
221.txt,28,189319, , , , , 
221.txt,191258,197230, , , , , 
221.txt,198610,377521, , , , , 
221.txt,378654,395420, , , , , 
221.txt,396139,415561, , , , , 
221.txt,416080,425387, , , , , 
221.txt,426832,649810, , , , , 
221.txt, , ,649810,29:45.131,0:17.853,99.01,0.99
222.txt
222.txt,17,39144, , , , , 
222.txt,40464,41595, , , , , 
222.txt,42269,191462, , , , , 
222.txt,193564,454746, , , , , 
222.txt,460307,461975, , , , , 
222.txt,468962,490090, , , , , 
222.txt,491567,534527, , , , , 
222.txt,535805,537458, , , , , 
222.txt,535805,649859, , , , , 
222.txt, , ,649859,29:15.822,0:50.917,97.18,2.82
223.txt
223.txt,96,56625, , , , , 
223.txt,58639,150339, , , , , 
223.txt,163505,221142, , , , , 
223.txt,228004,229742, , , , , 
223.txt,234339,272453, , , , , 
223.txt,275190,649849, , , , , 
223.txt, , ,649849,28:43.269,1:19.772,95.58,4.42
228.txt
228.txt,27,21556, , , , , 
228.txt,22860,57996, , , , , 
228.txt,65572,68108, , , , , 
228.txt,69655,99584, , , , , 
228.txt,101884,435497, , , , , 
228.txt,443748,450552, , , , , 
228.txt,452173,490951, , , , , 
228.txt,496604,530597, , , , , 
228.txt,533873,539676, , , , , 
228.txt,542955,546672, , , , , 
228.txt,549467,649761, , , , , 
228.txt, , ,649761,28:20.367,1:40.78,94.44,5.56
230.txt
230.txt,30,525595, , , , , 
230.txt,526730,649807, , , , , 
230.txt, , ,649807,30:01.783,0:02.886,99.84,0.16
231.txt
231.txt,57,649862, , , , , 
231.txt, , ,649862,30:05.14,0:00.0,100.0,0.0
232.txt
232.txt,76,2550, , , , , 
232.txt,26100,30155, , , , , 
232.txt,32478,81335, , , , , 
232.txt,87709,96933, , , , , 
232.txt,99449,99599, , , , , 
232.txt,101262,122278, , , , , 
232.txt,122495,125861, , , , , 
232.txt,129567,134385, , , , , 
232.txt,136725,137954, , , , , 
232.txt,141362,147329, , , , , 
232.txt,148330,243896, , , , , 
232.txt,248981,252568, , , , , 
232.txt,254631,256132, , , , , 
232.txt,264100,268556, , , , , 
232.txt,316342,316968, , , , , 
232.txt,480081,480435, , , , , 
232.txt,483807,485026, , , , , 
232.txt,483807,649366, , , , , 
232.txt, , ,649366,17:18.956,12:39.558,57.77,42.23
233.txt
233.txt,3,649946, , , , , 
233.txt, , ,649946,30:05.397,0:00.0,100.0,0.0
234.txt
234.txt,52,144095, , , , , 
234.txt,144686,147172, , , , , 
234.txt,147541,486404, , , , , 
234.txt,487534,493777, , , , , 
234.txt,520364,649772, , , , , 
234.txt, , ,649772,28:45.119,1:18.242,95.66,4.34
total, , ,28593115,26155580,2618691,90.90,9.10
