filename,start,end,set type
203.txt,469434,505420,Test
203.txt,420316,457181,Test
203.txt,24,3584,Test
203.txt,211127,215210,Validation
203.txt,375675,407305,Validation
203.txt,306954,312376,Validation
203.txt,301408,302363,Validation
203.txt,409814,418472,Validation
203.txt,193732,199072,Validation
205.txt,322918,331137,Validation
207.txt,101933,108704,Validation
207.txt,111757,115469,Validation
207.txt,120774,121788,Validation
207.txt,124554,150744,Validation
207.txt,151602,159775,Validation
207.txt,161076,170465,Validation
207.txt,173584,186227,Validation
208.txt,326108,420724,Training
208.txt,550108,559278,Training
208.txt,323548,324368,Training
208.txt,497885,500052,Training
208.txt,122073,136281,Training
208.txt,453453,457582,Training
208.txt,538209,539456,Training
208.txt,432868,433662,Test
208.txt,13030,19850,Test
208.txt,6482,8093,Validation
208.txt,458569,460774,Validation
208.txt,437925,438962,Validation
209.txt,305156,309711,Training
209.txt,290978,296214,Training
209.txt,89436,93785,Training
209.txt,598129,608596,Training
209.txt,439602,449558,Training
209.txt,575971,595433,Training
209.txt,270875,281035,Training
209.txt,373805,396567,Test
209.txt,122251,142126,Validation
210.txt,349615,352982,Training
210.txt,345494,345673,Training
210.txt,67636,71482,Training
210.txt,88260,302953,Training
210.txt,346090,346350,Training
210.txt,81064,82307,Training
210.txt,353969,354520,Training
210.txt,303520,303860,Validation
212.txt,572840,578363,Training
212.txt,400073,401859,Training
212.txt,502327,502485,Training
212.txt,504109,572400,Training
212.txt,252274,252720,Training
212.txt,404855,406365,Training
214.txt,29231,29808,Training
214.txt,27619,27869,Test
215.txt,605012,605755,Training
215.txt,67388,67557,Training
215.txt,244952,246167,Training
215.txt,332157,333162,Training
215.txt,594947,595889,Training
215.txt,311979,312503,Training
215.txt,460656,461624,Training
215.txt,279250,280077,Training
215.txt,586981,587793,Training
215.txt,71470,73761,Test
215.txt,480024,480731,Validation
215.txt,69622,70271,Validation
215.txt,450620,451516,Validation
215.txt,290311,291259,Validation
215.txt,635964,637298,Validation
220.txt,145616,147170,Training
220.txt,518935,520167,Training
221.txt,425387,426790,Training
221.txt,377521,378482,Training
221.txt,197230,198552,Training
221.txt,189319,191136,Validation
221.txt,395420,395865,Validation
221.txt,415561,416040,Validation
222.txt,454746,460256,Training
222.txt,41595,42095,Training
222.txt,534527,535755,Training
222.txt,490090,491234,Training
222.txt,39144,40405,Training
222.txt,461975,468726,Test
222.txt,191462,193398,Validation
223.txt,272453,275042,Training
223.txt,229742,234214,Training
223.txt,221142,227921,Training
223.txt,150339,163359,Test
223.txt,56625,58483,Validation
228.txt,450552,451982,Training
228.txt,539676,542711,Training
228.txt,530597,533726,Training
228.txt,490951,496383,Training
228.txt,57996,65403,Training
228.txt,68108,69534,Training
228.txt,435497,443559,Test
228.txt,99584,101838,Validation
228.txt,21556,22803,Validation
228.txt,546672,549278,Validation
230.txt,525595,526634,Training
232.txt,2550,25657,Test
232.txt,30155,32412,Test
232.txt,81335,87470,Test
232.txt,96933,99238,Test
232.txt,99599,101161,Test
232.txt,122278,122389,Test
232.txt,125861,129431,Test
232.txt,134385,136600,Test
232.txt,137954,139864,Test
232.txt,140271,141231,Test
232.txt,147329,148235,Test
232.txt,243896,248905,Test
232.txt,252568,254492,Test
232.txt,256132,263913,Test
232.txt,268556,316208,Test
232.txt,316968,479736,Test
234.txt,147172,147428,Training
234.txt,493777,520265,Training
234.txt,486404,487388,Test
234.txt,144095,144534,Test
